2023-05-23-15-48: using tensorboard
2023-05-23-15-48: Get lr 3e-06 from base lr 3e-06 with none
2023-05-23-15-48: {'overall': {'trainable': '60.26M', 'non_trainable': '11.54M', 'total': '71.8M'}, 'transformer': {'trainable': '60.26M', 'non_trainable': '11.54M', 'total': '71.8M'}}
2023-05-23-15-48: Distributed, begin DDP the model...
2023-05-23-15-48: Distributed, DDP model done!
2023-05-23-15-48: Libritts: global rank 0: prepare solver done!
2023-05-23-15-48: Libritts: global rank 0: start training...
2023-05-23-16-23: Libritts: train: Epoch 0/500 iter 2600/11015 || | dur_loss: 0.1294 | loss: 34.7015 | vqdiff loss: 34.5720 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 1.0s | iter_time: 1.0s | iter_avg_time: 0.8s | epoch_time: 34m:42s | spend_time: 34m:42s | left_time: 51d:00h:02m:31s
2023-05-23-16-24: Libritts: train: Epoch 0/500 iter 2700/11015 || | dur_loss: 0.1068 | loss: 15.8047 | vqdiff loss: 15.6979 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.7s | iter_time: 0.7s | iter_avg_time: 0.8s | epoch_time: 36m:01s | spend_time: 36m:01s | left_time: 50d:23h:26m:07s
2023-05-23-16-26: Libritts: train: Epoch 0/500 iter 2800/11015 || | dur_loss: 0.1072 | loss: 63.9396 | vqdiff loss: 63.8324 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.8s | epoch_time: 37m:20s | spend_time: 37m:20s | left_time: 50d:23h:21m:05s
2023-05-23-16-27: Libritts: train: Epoch 0/500 iter 2900/11015 || | dur_loss: 0.1074 | loss: 121.4029 | vqdiff loss: 121.2955 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.8s | epoch_time: 38m:39s | spend_time: 38m:39s | left_time: 50d:22h:25m:21s
2023-05-23-16-29: Libritts: train: Epoch 0/500 iter 3000/11015 || | dur_loss: 0.1075 | loss: 39.1377 | vqdiff loss: 39.0302 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.7s | iter_time: 0.7s | iter_avg_time: 0.8s | epoch_time: 40m:01s | spend_time: 40m:01s | left_time: 50d:23h:29m:28s
2023-05-23-16-30: Libritts: train: Epoch 0/500 iter 3100/11015 || | dur_loss: 0.1144 | loss: 32.9237 | vqdiff loss: 32.8094 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.7s | iter_time: 0.7s | iter_avg_time: 0.8s | epoch_time: 41m:19s | spend_time: 41m:19s | left_time: 50d:22h:43m:45s
2023-05-23-16-31: Libritts: train: Epoch 0/500 iter 3200/11015 || | dur_loss: 0.1150 | loss: 5.4443 | vqdiff loss: 5.3293 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.8s | epoch_time: 42m:38s | spend_time: 42m:38s | left_time: 50d:22h:03m:28s
2023-05-23-16-32: Libritts: train: Epoch 0/500 iter 3300/11015 || | dur_loss: 0.1161 | loss: 20.7881 | vqdiff loss: 20.6720 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.9s | iter_time: 0.9s | iter_avg_time: 0.8s | epoch_time: 43m:58s | spend_time: 43m:58s | left_time: 50d:21h:53m:52s
2023-05-23-16-34: Libritts: train: Epoch 0/500 iter 3400/11015 || | dur_loss: 0.1240 | loss: 47.0486 | vqdiff loss: 46.9246 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.8s | epoch_time: 45m:17s | spend_time: 45m:17s | left_time: 50d:21h:38m:10s
2023-05-23-16-35: Libritts: train: Epoch 0/500 iter 3500/11015 || | dur_loss: 0.0962 | loss: 8.8698 | vqdiff loss: 8.7736 || lr_lr: 0.0002 || data_time: 0.0s | fbward_time: 0.6s | iter_time: 0.6s | iter_avg_time: 0.8s | epoch_time: 46m:35s | spend_time: 46m:35s | left_time: 50d:20h:44m:29s
